Image,Disease %,Contrast,Correlation,Energy,Homogeneity,ASM,Dissimilarity
369.JPG,9.551712368,338.7656863,0.8206905795,0.9278809307,0.9305760046,0.8609630215,3.45189951
37.JPG,98.30641214,714.4796262,0.9529481981,0.4894409966,0.5493141685,0.2395524891,9.353737745
370.JPG,94.23067448,937.1265625,0.8879133687,0.6186586006,0.6432640452,0.3827384641,11.65778186
371.JPG,5.285617587,200.5898897,0.7358240117,0.9580889995,0.9593375212,0.9179345309,2.233302696
372.JPG,1.420193779,103.9505821,0.6193026985,0.9838850833,0.9840885849,0.9680298572,1.083854167
373.JPG,22.52782789,581.5549326,0.8502942342,0.873363314,0.878242777,0.7627634783,5.726623775
374.JPG,2.855457227,152.7804534,0.7034095895,0.9731162335,0.9741492087,0.9469552039,1.512408088
375.JPG,8.47062933,413.5021752,0.7839306942,0.9199157513,0.9222114813,0.8462449894,4.214828431
376.JPG,2.355880299,117.7462316,0.8197900564,0.9669733671,0.9687075961,0.9350374927,1.337071078
377.JPG,2.461010605,111.3459559,0.72477911,0.9788758754,0.9793626724,0.9581979795,1.199142157
378.JPG,19.2701486,499.4891238,0.8502102892,0.8774072469,0.8839183638,0.769843477,4.913541667
379.JPG,3.219466542,181.0108762,0.7467561052,0.9686891889,0.9696894185,0.9383587447,1.770557598
38.JPG,11.14618058,436.9108762,0.7553370041,0.92000792,0.9222913555,0.8464145728,4.404901961
380.JPG,48.09182629,765.7171569,0.8917322991,0.6689891311,0.6842579367,0.4475464576,10.81372549
381.JPG,49.36660755,922.0505821,0.8858856945,0.7234438275,0.7358140576,0.5233709716,10.54381127
382.JPG,89.84379605,890.8195159,0.9207690171,0.4881063125,0.5129643213,0.2382477723,14.16387868
383.JPG,16.68875522,480.5675858,0.8508982864,0.8654587739,0.8704243011,0.7490188893,5.639828431
384.JPG,9.060095018,477.3242034,0.710992455,0.9107256407,0.9130978672,0.8294211927,4.936764706
385.JPG,6.125158223,313.314277,0.7821599124,0.928586107,0.9306966772,0.8622721582,3.565196078
386.JPG,6.845337125,337.5804841,0.7762872057,0.9384353662,0.9397710333,0.8806609366,3.503033088
387.JPG,14.96334958,437.9078125,0.8145642143,0.8821563405,0.8868394117,0.7781998091,4.969515931
388.JPG,0.1032113474,1.902665441,0.2155347343,0.9990349365,0.9990671972,0.9980708043,0.03829656863
389.JPG,12.95287333,395.4052696,0.7775340071,0.9275746924,0.9295069319,0.8603948099,3.936703431
39.JPG,14.77435694,522.2547181,0.8170340252,0.8777906913,0.8825351191,0.7705164977,5.589797794
390.JPG,0.2176764435,4.473958333,0.8456953128,0.998560056,0.9986157246,0.9971221855,0.06090686275
391.JPG,9.155640431,438.2195772,0.788049604,0.8816203863,0.8856700863,0.7772545056,5.194056373
392.JPG,32.86479491,830.9548713,0.8613433455,0.7846856159,0.7932666386,0.6157315159,8.749693627
393.JPG,6.254286961,246.1794424,0.8029431956,0.9460178688,0.9483233701,0.894949808,2.45379902
394.JPG,8.308572986,423.2852022,0.6998575043,0.9139739449,0.9158650157,0.8353483719,4.783884804
395.JPG,15.64224744,453.0964461,0.8359961256,0.8481955402,0.8534170724,0.7194356744,6.083241422
396.JPG,2.557434991,195.570864,0.7033834604,0.9691794656,0.9698826786,0.9393088365,1.893903186
397.JPG,80.23429998,945.515962,0.9150160024,0.5671442043,0.5912797361,0.3216525484,12.84047181
398.JPG,37.27865018,1106.132062,0.8535680086,0.8291566937,0.8379268096,0.6875008227,8.724004289
399.JPG,1.650606709,73.17144608,0.6360265067,0.9857844708,0.9860241658,0.9717710229,0.8221813725
4.JPG,16.3733571,614.0447304,0.8135670497,0.8135330459,0.8203315635,0.6618360168,7.703155637
40.JPG,40.69661504,416.6905637,0.8289731849,0.8782048106,0.8847842334,0.7712436893,4.767463235
400.JPG,6.548110123,288.0262561,0.7207868262,0.9397071571,0.9413232937,0.8830495411,3.181862745
401.JPG,40.11468675,639.0862439,0.8800281158,0.7908127581,0.7995422537,0.6253848184,7.891758578
402.JPG,63.68442456,1164.850429,0.8516714641,0.5387902599,0.555123477,0.2902949441,16.52637868
403.JPG,99.53749822,758.8810049,0.9284395865,0.534317306,0.5597882051,0.2854949835,12.64047181
404.JPG,75.53060145,703.0605699,0.9219896083,0.6491973031,0.6690379589,0.4214571383,9.776439951
405.JPG,55.4921928,1166.571446,0.8770571625,0.744369562,0.7561044267,0.5540860448,10.72316176
406.JPG,19.44767152,594.6059743,0.8463904256,0.8645394261,0.8681598636,0.7474284192,6.558272059
407.JPG,23.07223505,835.8033395,0.8125125302,0.826200454,0.8327125778,0.6826071903,8.391268382
408.JPG,1.940981537,87.62123162,0.621791365,0.9827514415,0.9829925853,0.9658003958,1.017126225
409.JPG,19.47119533,575.0794424,0.8098299509,0.8201950903,0.8273800826,0.6727199861,7.160845588
41.JPG,3.373149394,170.9866728,0.7968768527,0.9707111209,0.9716267093,0.9422800803,1.597671569
410.JPG,16.15934627,478.8307598,0.8155044755,0.8566975031,0.8611402228,0.7339306119,6.021660539
411.JPG,3.018120375,150.8181985,0.7433060932,0.9721511352,0.9729223979,0.9450778297,1.531832108
412.JPG,95.58069128,1087.462377,0.9125289945,0.508603174,0.5437021058,0.2586771886,13.06507353
413.JPG,19.18759838,576.0040441,0.802619128,0.8390666909,0.8445209121,0.7040329118,6.926409314
414.JPG,64.23248882,747.6344363,0.8819450229,0.6275559869,0.645543039,0.3938265168,11.16007966
415.JPG,0.0195672835,0.3515318627,0.6080876296,0.9998468144,0.9998546998,0.9996936523,0.00631127451
416.JPG,48.91123151,672.0893689,0.8900354818,0.7809325455,0.7924729797,0.6098556406,7.598406863
417.JPG,99.25291625,919.8606924,0.9374186239,0.6137429165,0.6411135661,0.3766803675,10.3588848
418.JPG,3.131383879,150.0367647,0.7922229357,0.9618725157,0.9634046148,0.9251987365,1.71372549
419.JPG,2.617588021,169.1695772,0.6799543505,0.9691182019,0.9698985087,0.9391900892,1.806188725
42.JPG,58.43261275,871.1357537,0.9025703373,0.7082813437,0.7269382466,0.5016624618,9.424877451
420.JPG,4.604046405,198.323223,0.7781849217,0.9531869622,0.9545349231,0.9085653848,2.29286152
421.JPG,22.39488409,675.8500613,0.8528941658,0.8311619225,0.8380360355,0.6908301415,7.142432598
422.JPG,14.53175112,603.3742647,0.7988392596,0.8937520324,0.8974094254,0.7987926954,5.524724265
423.JPG,3.769852484,169.7310968,0.801359444,0.9544735762,0.956096568,0.9110198077,2.001501225
424.JPG,16.43101277,384.745098,0.7407366362,0.8777945962,0.8826925112,0.7705233531,5.053216912
425.JPG,3.716137319,199.9753983,0.8211467833,0.9560512655,0.9572824679,0.9140340223,2.269761029
426.JPG,5.735253462,301.1056679,0.723788825,0.9422198557,0.944060655,0.8877782565,3.178125
427.JPG,0.05112474438,1.823805147,0.2314495912,0.9994944888,0.9995028212,0.9989892331,0.0253370098
428.JPG,50.86569379,789.2636029,0.835381524,0.8172690123,0.8265837103,0.6679286385,7.88125
429.JPG,13.56941508,395.6276654,0.8741888312,0.8772688899,0.8816751361,0.7696007051,4.820281863
43.JPG,48.75100046,833.2793199,0.8815855766,0.7414122391,0.7526781049,0.5496921083,9.827328431
430.JPG,5.08403829,234.4926164,0.8142597252,0.9395381379,0.9424862746,0.8827319126,2.623897059
431.JPG,3.211049789,186.6840993,0.6886336432,0.9676783855,0.9686561054,0.9364014578,1.903370098
432.JPG,5.552950005,227.4268382,0.7979189151,0.9530030528,0.9549587417,0.9082148186,2.221507353
433.JPG,8.544750906,366.9840993,0.7832470368,0.9331352002,0.9350228456,0.8707413019,3.566758578
434.JPG,66.03945534,1066.064522,0.8716972469,0.6349542168,0.6493379043,0.4031668574,13.38786765
435.JPG,5.134579119,322.6537071,0.6414601758,0.9455593973,0.9468576173,0.8940825738,3.37778799
436.JPG,5.270202443,194.3875919,0.8126949558,0.9510575905,0.9530470302,0.9045105405,2.129136029
437.JPG,0.303152789,8.518995098,0.6787686725,0.9981158209,0.99819562,0.996235192,0.09656862745
438.JPG,3.941702551,242.0326593,0.8092038373,0.9491732921,0.9503940572,0.9009299384,2.696139706
439.JPG,17.63993541,470.7336703,0.8434015357,0.8952835089,0.9001880472,0.8015325613,4.543351716
44.JPG,12.60806274,463.2386949,0.7976876128,0.8820647136,0.8853259631,0.778038159,5.551256127
440.JPG,0.05319777752,1.621599265,0.03991109425,0.9994791717,0.9994814456,0.9989586147,0.02322303922
441.JPG,2.80753499,208.2939032,0.6977912233,0.9692253812,0.9698995934,0.9393978395,2.007506127
442.JPG,24.3828598,912.6679228,0.8160297445,0.7535167955,0.761466018,0.5677875611,10.63704044
443.JPG,67.08917454,761.6946998,0.9166732148,0.712002878,0.7288633922,0.5069480983,9.25189951
444.JPG,18.23051607,746.3772672,0.794519103,0.8255266793,0.8314398469,0.6814942982,8.133915441
445.JPG,57.36630188,796.8908088,0.9036367355,0.7648648518,0.777725242,0.5850182416,8.215900735
446.JPG,16.19695628,558.0791054,0.8267212083,0.8621201297,0.8671559116,0.743251118,6.056648284
447.JPG,41.39499037,731.5448836,0.8941242222,0.796971037,0.8056145047,0.6351628337,7.762316176
448.JPG,1.309437207,21.35318627,0.3487225543,0.9893998024,0.9896259872,0.978911969,0.3845588235
449.JPG,3.596187175,176.5545956,0.7666697584,0.9553469914,0.9571520874,0.9126878739,2.018229167
45.JPG,31.59689797,597.4485294,0.9007531507,0.850110093,0.8579546612,0.7226871701,5.765134804
450.JPG,92.70166453,1222.442463,0.9162359048,0.510952623,0.5446111509,0.2610725829,13.83033088
451.JPG,92.67572596,1074.674816,0.9280636839,0.5641141756,0.5923633046,0.3182248032,12.29178922
452.JPG,32.94514099,798.246201,0.7617496599,0.7296106015,0.7389479577,0.5323316298,10.70447304
453.JPG,8.722921097,417.3412684,0.7608632661,0.9084429802,0.9105955694,0.8252686483,4.744546569
454.JPG,5.211223293,274.6651042,0.8027948254,0.9505673741,0.9521005098,0.9035783327,2.671997549
455.JPG,33.77119496,713.4652574,0.846657002,0.7594747583,0.7684379589,0.5768019085,9.286519608
456.JPG,20.43875428,347.8206801,0.9019334727,0.857707791,0.8664565618,0.7356626548,4.50848652
457.JPG,8.226904376,367.5206189,0.789177978,0.9279425563,0.9299297522,0.8610773878,3.776470588
458.JPG,0.4082308159,42.60704657,0.485110345,0.9955270121,0.9956226601,0.9910740317,0.3742340686
459.JPG,2.276738968,183.8101409,0.6743504479,0.9711708994,0.9718184507,0.9431729158,1.801930147
46.JPG,43.07255897,783.4809743,0.8365280648,0.7857595491,0.7935968832,0.617418069,9.094791667
460.JPG,11.57617656,395.5347426,0.8357507934,0.8886356535,0.8923566135,0.7896733246,4.690839461
461.JPG,24.21261023,589.1683824,0.8353106752,0.8195820149,0.8270350924,0.6717146791,7.115839461
462.JPG,2.543838721,150.9870711,0.6523623664,0.9749545488,0.9756106922,0.9505363722,1.564552696
47.JPG,63.00514125,998.0364583,0.8816237135,0.5666231063,0.5849984812,0.3210617446,14.26216299
48.JPG,2.106327909,152.3259191,0.6706413644,0.9788299956,0.9792487928,0.9581081603,1.441145833
49.JPG,5.798138869,338.243413,0.7220546029,0.9438585574,0.9451834719,0.8908689764,3.378982843
5.JPG,77.27130424,817.435723,0.9034975459,0.5597888057,0.5804900521,0.313363507,12.90818015
50.JPG,9.141767324,345.2359069,0.8038607701,0.9117051496,0.9142038194,0.8312062797,3.978094363
51.JPG,99.11078992,695.9448836,0.9429610776,0.4636716634,0.5037029664,0.2149914114,11.67693015
52.JPG,4.592027093,301.6450674,0.6547097822,0.9498484434,0.9508391572,0.9022120654,3.128431373
53.JPG,20.07648867,619.3342525,0.7921361106,0.8497442088,0.8548667732,0.7220652204,7.041268382
54.JPG,3.8370333,265.6662071,0.7554513768,0.9498020481,0.9515943495,0.9021239305,2.722886029
55.JPG,65.27383082,1023.759957,0.8959585729,0.5464793638,0.5688860308,0.2986396951,13.89457721
56.JPG,13.31772148,591.1381127,0.8009022613,0.905271682,0.9084050434,0.8195168182,5.325275735
57.JPG,1.561099844,90.53082108,0.7319223624,0.9816485859,0.9824566403,0.9636339463,0.9711703431
58.JPG,43.933763,859.023315,0.8810484207,0.8047984628,0.8144349329,0.6477005657,7.959068627
59.JPG,9.099468693,276.8354779,0.80410538,0.9419125447,0.9437265125,0.8871992418,2.893535539
6.JPG,6.987616431,290.7495098,0.7745536278,0.9357394358,0.9378819495,0.8756082917,3.2078125
60.JPG,1.576813335,62.21706495,0.6988913813,0.9857078487,0.9860195039,0.971619963,0.7366421569
61.JPG,5.501023726,267.9287071,0.7488639495,0.9524056662,0.9535467169,0.9070765531,2.742922794
62.JPG,59.16266301,804.9784007,0.9067819113,0.730186203,0.7490443023,0.5331718911,8.536488971
63.JPG,6.376042699,239.3526654,0.8179827257,0.9488822338,0.9508230792,0.9003774936,2.375367647
64.JPG,46.83381767,496.4582108,0.8786031069,0.8554710747,0.8621295392,0.7318307596,5.517555147
65.JPG,0.009258402,0.6430759804,-4.42E-05,0.9999080889,0.9999081041,0.9998161863,0.007536764706
66.JPG,6.121271563,219.5769608,0.7957745331,0.944823132,0.9463938335,0.8926907507,2.582107843
67.JPG,86.31365542,964.2332414,0.9135005389,0.4805405571,0.5124541373,0.230919227,14.13106618
68.JPG,3.436770103,107.1592831,0.7684627376,0.9730701878,0.9741218867,0.9468655905,1.243045343
69.JPG,1.813763777,78.70061275,0.6179034915,0.9844824173,0.9848649757,0.9692056299,0.8935355392
7.JPG,97.3970817,1090.57765,0.8911562213,0.5608087393,0.586201325,0.3145064421,13.8654565
70.JPG,9.632719333,419.3941483,0.7667351073,0.9051641334,0.907898927,0.8193221084,4.684865196
71.JPG,7.21501154,255.6165748,0.8064346774,0.9405644849,0.942722718,0.8846615503,2.771599265
72.JPG,10.6872575,344.644761,0.7678062162,0.9217386833,0.9240033736,0.8496022003,3.796507353
73.JPG,68.9950379,601.0127145,0.9237046683,0.7518753039,0.7667864716,0.5653164726,7.391360294
74.JPG,11.06710098,354.1660233,0.8813574048,0.8702530823,0.8760710532,0.7573404272,4.663939951
75.JPG,26.28314318,803.9718137,0.8620265546,0.8338573405,0.840329981,0.6953180643,7.587561275
76.JPG,32.86368159,1113.182659,0.8279995416,0.7122794375,0.7207869556,0.5073419971,12.87775735
77.JPG,10.48995935,485.0398591,0.7575270434,0.9017794299,0.9044696957,0.8132061402,5.122028186
78.JPG,8.260840912,285.2907782,0.8085924316,0.9387416852,0.940965878,0.8812359516,2.930637255
79.JPG,18.50857667,501.1644608,0.8524742251,0.889416405,0.8936591639,0.7910615415,4.958394608
8.JPG,65.91274029,808.7893689,0.9151265234,0.6912328687,0.7128771855,0.4778028788,9.265134804
80.JPG,10.61147916,320.554565,0.8894046631,0.8740364726,0.8797176688,0.7639397555,4.160784314
81.JPG,99.6320389,677.6436275,0.9295398947,0.4825040789,0.514044783,0.2328101861,12.42686887
82.JPG,10.87716207,343.3999694,0.848306317,0.9005836485,0.90611367,0.8110509079,3.78213848
83.JPG,4.987075747,228.7683211,0.7472976111,0.9552243756,0.9562064259,0.9124536078,2.495067402
84.JPG,37.63584817,438.9461091,0.8410997478,0.8975353007,0.9025659762,0.8055696161,4.389491422
85.JPG,5.909750952,307.2041973,0.812981948,0.9371484857,0.9395844903,0.8782472842,3.036642157
86.JPG,18.65353912,307.9350797,0.9206938736,0.8631607811,0.8742687907,0.745046534,3.857873775
87.JPG,89.23710477,796.6793811,0.908004384,0.5260483924,0.5524829637,0.2767269111,12.92469363
88.JPG,63.84656178,771.1829963,0.9187894815,0.6478236226,0.6792233214,0.419675446,9.507107843
89.JPG,13.26478611,417.4221507,0.7351574359,0.8729837789,0.8769808089,0.7621006783,5.501409314
9.JPG,25.65358905,621.0143382,0.813730639,0.7695249264,0.7785184685,0.5921686123,8.603094363
90.JPG,6.33472777,333.9198223,0.6736561574,0.9397231012,0.9411917417,0.8830795069,3.491789216
91.JPG,19.41565822,396.756924,0.8534127763,0.8642027913,0.8691372507,0.7468464645,5.227604167
92.JPG,9.648598484,346.4948836,0.7697195656,0.9180777592,0.9208833755,0.842866772,3.896568627
93.JPG,14.8107873,579.1033701,0.835466228,0.8890797483,0.8934569917,0.7904627988,5.247089461
94.JPG,10.94070696,442.5945772,0.7861684791,0.919211612,0.9236358313,0.8449499875,4.146568627
95.JPG,14.93751573,405.8185355,0.8521350564,0.8630996035,0.8674358023,0.7449409255,5.424816176
96.JPG,3.637888219,139.5253676,0.6986713263,0.974923721,0.9756130586,0.9504762617,1.431188725
97.JPG,40.48421808,745.1785539,0.8472344617,0.7427935161,0.7520567258,0.5517422076,9.850183824
98.JPG,17.44747822,686.223606,0.7620516703,0.8450580786,0.8493901072,0.7141231562,7.749586397
99.JPG,7.221159975,278.6427696,0.7645525922,0.9446240763,0.9465020169,0.8923146455,2.878982843
